ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
344,Left,1667.8,1826.7,0.00,59.26,6
345,Left,1985.1,2173.6,0.00,59.21,6
346,Left,1589.8,1685.0,0.15,59.13,6
347,Right,1630.0,1822.9,0.00,59.13,6
348,Left,1793.6,1838.5,0.00,59.12,6
349,Left,1198.9,1446.1,0.00,59.05,6
350,Left,1401.4,1414.4,0.00,59.05,6
351,Right,1335.5,1382.8,0.00,59.03,6
352,Right,1140.3,1302.6,0.00,59.01,6
353,Left,1522.7,1631.7,0.18,59.00,6
354,Right,1872.3,1984.3,0.03,59.00,6
355,Right,1200.2,1264.7,0.00,58.98,6
356,Right,1867.9,1892.0,0.00,58.97,6
357,Right,1393.0,1455.7,0.01,58.97,6
358,Right,1867.8,1897.1,0.00,58.97,6
359,Left,1236.9,1289.7,0.18,58.97,6
360,Right,1722.8,1726.0,0.00,58.94,6
361,Right,1164.7,1227.0,0.00,58.94,6
362,Left,967.0,1317.3,0.00,58.94,6
363,Right,1958.6,2022.3,0.00,58.91,6
364,Left,1313.3,1392.6,0.03,58.90,6
365,Left,1134.7,1225.1,0.00,58.88,6
366,Right,738.8,892.7,0.00,58.88,6
367,Left,1453.9,1520.0,0.16,58.88,6
368,Right,1633.6,1657.6,0.00,58.87,6
369,Left,1491.8,1537.3,0.00,58.87,6
370,Right,1304.4,1400.2,0.00,58.86,6
371,Left,1519.1,1551.5,0.01,58.84,6
372,Left,1295.4,1609.8,0.00,60.11,7
373,Left,1222.3,1437.6,0.00,60.01,7
374,Right,1592.1,1600.8,0.00,59.62,7
375,Left,1461.0,1655.1,0.05,59.56,7
376,Right,1699.2,1895.9,0.17,59.56,7
377,Left,1159.3,1289.5,0.00,59.54,7
378,Right,1472.4,1601.0,0.01,59.34,7
379,Left,1223.6,1231.8,0.16,59.18,7
380,Left,1308.7,1528.5,0.11,59.18,7
381,Left,1041.4,1194.7,0.00,59.17,7
382,Left,2398.2,2487.7,0.00,59.16,7
383,Left,1410.4,1422.7,0.00,59.15,7
384,Left,1744.0,1873.8,0.01,59.14,7
385,Left,1195.0,1355.9,0.02,59.12,7
386,Right,1497.8,1701.1,0.03,59.11,7
387,Left,1394.1,1628.1,0.11,59.09,7
388,Right,1476.2,1503.4,0.00,59.07,7
389,Right,1296.5,1329.3,0.07,59.06,7
390,Left,1588.1,1596.3,0.05,59.04,7
391,Right,1660.2,1722.8,0.00,58.98,7
392,Left,1133.8,1266.3,0.00,58.97,7
393,Left,1318.7,1379.3,0.01,58.96,7
394,Right,1023.8,1123.2,0.00,58.94,7
395,Right,1433.2,1476.5,0.14,58.91,7
396,Right,1539.1,1678.5,0.00,58.87,7
397,Left,1473.0,1486.3,0.01,58.86,7
398,Left,1223.6,1262.7,0.00,58.81,7
399,Left,1236.9,1448.1,0.00,60.82,8
400,Right,1532.7,1641.1,0.00,59.83,8
401,Left,1365.3,1528.7,0.00,59.64,8
402,Left,1258.4,1414.4,0.00,59.54,8
403,Left,1848.2,1898.4,0.00,59.44,8
404,Right,1143.9,1235.9,0.00,59.43,8
405,Left,1646.4,1948.6,0.00,59.43,8
406,Left,926.2,2209.0,0.01,59.38,8
407,Right,1920.0,2142.9,0.03,59.38,8
408,Left,1438.3,1638.5,0.00,59.35,8
409,Right,1612.4,1732.5,0.05,59.33,8
410,Right,1656.6,1729.3,0.00,59.29,8
411,Left,1563.1,1708.6,0.05,59.21,8
412,Left,2474.6,2526.4,0.02,59.14,8
413,Left,1502.1,1707.2,0.00,59.14,8
414,Right,1509.7,1512.4,0.00,59.13,8
415,Right,590.4,597.4,0.00,59.05,8
416,Right,1356.3,1478.9,0.08,59.02,8
417,Left,1556.2,1616.8,0.00,59.00,8
418,Right,1666.1,1902.6,0.10,58.98,8
419,Right,1861.9,2045.5,0.00,58.97,8
420,Right,1030.8,1263.9,0.01,58.97,8
421,Left,1421.4,1469.1,0.00,58.96,8
422,Left,1512.2,1561.9,0.00,58.95,8
423,Right,1756.7,1763.7,0.00,58.95,8
424,Right,1630.7,1712.7,0.00,58.95,8
425,Right,1114.2,1170.1,0.00,58.91,8
426,Right,661.0,680.2,0.00,58.89,8
427,Right,1372.6,1454.3,0.00,58.89,8
428,Right,1687.0,1828.2,0.00,58.87,8
429,Left,1697.7,1809.6,0.00,58.86,8
430,Left,1676.3,2033.0,0.00,58.84,8
431,Right,1359.8,1436.9,0.00,58.84,8
432,Left,1086.4,1094.5,0.03,58.83,8
433,Right,1256.3,1387.1,0.00,58.83,8
434,Left,1499.1,1554.1,0.00,58.83,8
435,Left,918.9,990.2,0.03,58.81,8
436,Left,961.0,2298.8,0.00,60.25,9
