ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
301,Right,1625.8,1681.6,0.00,59.78,7
302,Right,1431.6,1494.3,0.00,59.74,7
303,Right,2402.7,2419.8,0.00,59.67,7
304,Left,2614.2,2689.2,0.08,59.67,7
305,Right,1573.7,1587.2,0.00,59.62,7
306,Right,1425.0,2469.3,0.00,59.56,7
307,Left,1552.9,1593.4,0.00,59.56,7
308,Right,1103.8,1162.5,0.00,59.54,7
309,Right,2711.5,2745.9,0.00,59.51,7
310,Right,2143.7,2258.5,0.00,59.51,7
311,Left,2477.0,2597.5,0.01,59.46,7
312,Right,2377.7,2390.5,0.00,59.42,7
313,Right,1315.8,1367.0,0.00,59.41,7
314,Left,1744.1,1853.3,0.00,59.40,7
315,Left,1869.3,1918.3,0.16,59.39,7
316,Left,1468.1,1533.5,0.00,59.39,7
317,Right,2416.8,2420.5,0.00,59.38,7
318,Right,1615.0,1754.1,0.00,59.36,7
319,Right,1559.4,1607.2,0.01,59.34,7
320,Left,1724.1,1803.5,0.00,59.32,7
321,Right,1536.4,1572.4,0.04,59.28,7
322,Left,1910.8,1948.8,0.05,59.25,7
323,Left,1755.6,1841.8,0.00,59.24,7
324,Right,954.6,1012.3,0.06,59.23,7
325,Left,1593.1,1642.9,0.00,59.22,7
326,Left,1507.9,1536.6,0.00,59.16,7
327,Right,1712.0,1834.0,0.01,59.15,7
328,Right,2797.5,2824.7,0.02,59.13,7
329,Right,2866.2,2881.8,0.00,59.09,7
330,Right,2276.2,2281.1,0.00,59.08,7
331,Right,1487.7,1589.7,0.00,59.07,7
332,Right,1793.4,1806.2,0.01,59.07,7
333,Right,2583.2,2704.7,0.00,59.07,7
334,Left,2262.4,2327.9,0.02,59.05,7
335,Right,1877.1,1975.9,0.02,59.03,7
336,Right,2547.6,2551.3,0.00,59.01,7
337,Left,1624.4,1655.8,0.01,58.98,7
338,Left,2554.3,2641.7,0.00,58.95,7
339,Right,1891.5,1992.2,0.00,58.93,7
340,Right,2640.5,2656.9,0.02,58.91,7
341,Right,1321.7,1454.8,0.03,58.91,7
342,Left,902.2,908.4,0.00,58.90,7
343,Right,2634.5,2744.9,0.00,61.19,8
344,Left,2673.0,2689.2,0.00,61.00,8
345,Left,2489.4,2600.6,0.00,61.00,8
346,Left,2564.3,2609.7,0.01,60.76,8
347,Left,2716.1,2734.3,0.01,60.59,8
348,Left,2592.7,2626.3,0.00,60.51,8
349,Left,2449.2,2496.8,0.00,60.30,8
350,Right,2400.3,2458.2,0.00,60.26,8
351,Right,2556.5,2613.6,0.00,60.16,8
352,Left,2412.1,2467.7,0.00,60.15,8
353,Right,1294.2,1343.8,0.01,60.11,8
354,Right,2785.5,2819.8,0.00,60.03,8
355,Right,2023.0,2068.6,0.00,60.02,8
356,Left,2607.9,2675.7,0.00,60.01,8
357,Left,2540.4,2608.7,0.00,59.89,8
358,Left,2327.4,2423.5,0.00,59.87,8
359,Right,1864.7,1896.2,0.00,59.83,8
360,Right,1322.1,1396.2,0.00,59.82,8
361,Left,2437.7,2513.4,0.00,59.81,8
362,Left,2359.1,2452.6,0.00,59.72,8
363,Left,2362.2,2450.7,0.00,59.71,8
364,Left,2423.6,2431.9,0.00,59.68,8
365,Left,2432.2,2456.7,0.00,59.65,8
366,Left,1482.0,1650.5,0.00,59.52,8
367,Right,1572.3,1592.0,0.00,59.51,8
368,Left,2419.1,2516.1,0.00,59.48,8
369,Right,1303.2,1426.5,0.02,59.47,8
370,Right,2254.2,2372.3,0.00,59.45,8
371,Left,2506.6,2643.4,0.00,59.44,8
372,Left,1403.0,1441.4,0.00,59.41,8
373,Left,1544.2,1572.4,0.00,59.35,8
374,Right,1509.8,1545.6,0.00,59.34,8
375,Right,1634.7,1668.8,0.00,59.34,8
376,Left,1575.2,1656.3,0.00,59.32,8
377,Right,2430.0,2473.4,0.01,59.27,8
378,Right,449.1,455.6,0.01,59.26,8
379,Right,2004.2,2039.8,0.00,59.26,8
380,Right,2256.2,2293.0,0.00,59.23,8
381,Left,2401.5,2436.1,0.00,59.22,8
382,Right,2388.4,2470.4,0.00,59.20,8
383,Right,2681.2,2726.3,0.00,59.18,8
384,Left,2423.3,2463.1,0.00,59.16,8
385,Right,1042.1,1145.0,0.00,59.15,8
386,Right,1752.8,1829.2,0.00,59.14,8
387,Right,1178.5,1257.0,0.01,59.14,8
388,Left,2401.3,2447.4,0.02,59.12,8
389,Right,2384.2,2498.6,0.00,59.12,8
390,Left,2431.2,2436.1,0.00,59.10,8
391,Right,2732.1,2787.3,0.00,59.09,8
392,Right,1580.1,1685.4,0.01,59.03,8
393,Right,2525.7,2572.4,0.00,59.03,8
394,Right,1449.9,1914.0,0.00,59.03,8
395,Right,2648.6,2716.7,0.05,59.02,8
396,Right,772.2,812.3,0.01,59.02,8
397,Right,1135.2,1178.3,0.04,58.98,8
398,Right,2005.2,2184.4,0.02,58.98,8
399,Left,2581.8,2637.8,0.03,58.95,8
400,Left,2189.0,2242.4,0.08,58.94,8
401,Right,1509.6,1539.2,0.01,58.92,8
402,Left,1730.7,1789.6,0.02,58.90,8
403,Right,2543.3,2680.5,0.00,58.89,8
404,Left,1568.6,1605.6,0.00,58.89,8
405,Right,1357.6,1437.8,0.00,58.88,8
406,Right,2648.5,2666.2,0.01,61.15,9
407,Right,2571.1,2669.0,0.00,60.94,9
408,Right,2668.2,2681.3,0.01,60.77,9
409,Right,2577.6,2679.4,0.00,60.50,9
410,Left,2440.1,2494.1,0.00,60.48,9
411,Left,2653.2,2732.2,0.00,60.44,9
412,Left,2563.3,2680.3,0.00,60.29,9
413,Right,2454.0,2517.0,0.00,60.16,9
414,Left,2341.9,2421.3,0.00,60.00,9
415,Right,2580.7,2615.1,0.00,59.96,9
416,Right,2111.2,2232.1,0.00,59.96,9
417,Right,2357.7,2426.1,0.00,59.94,9
418,Right,2215.8,2310.8,0.00,59.91,9
419,Left,2489.5,2620.5,0.01,59.89,9
420,Right,2680.0,2686.9,0.00,59.83,9
421,Right,2478.2,2530.8,0.03,59.83,9
422,Left,2353.5,2427.7,0.00,59.81,9
423,Left,2563.0,2657.9,0.02,59.74,9
424,Right,991.0,1001.2,0.13,59.72,9
425,Left,1551.3,2342.3,0.03,59.70,9
426,Right,2568.1,2602.6,0.00,59.69,9
427,Right,2648.3,2647.9,0.01,59.66,9
428,Left,2370.0,2440.4,0.00,59.65,9
429,Left,2561.5,2632.8,0.00,59.58,9
430,Right,1258.8,1331.7,0.00,59.58,9
431,Left,2063.9,2135.4,0.00,59.49,9
432,Left,2555.1,2676.8,0.01,59.48,9
433,Left,2533.0,2596.6,0.02,59.46,9
434,Right,2568.4,2650.3,0.00,59.45,9
435,Right,2228.4,2328.4,0.00,59.37,9
436,Left,2573.7,2661.1,0.00,59.37,9
437,Right,2399.8,2417.6,0.01,59.37,9
438,Right,1989.4,2062.8,0.00,59.36,9
439,Left,1527.6,1546.9,0.00,59.29,9
440,Left,2554.8,2693.3,0.00,59.28,9
441,Right,1414.2,1507.6,0.00,59.26,9
442,Left,1726.0,1741.0,0.00,59.24,9
443,Left,2396.8,2484.7,0.00,59.21,9
444,Left,2405.4,2479.6,0.00,59.21,9
445,Right,1117.7,1133.5,0.00,59.20,9
446,Left,1825.4,1887.7,0.00,59.18,9
447,Left,2409.7,2488.6,0.02,59.17,9
448,Right,1377.6,1390.5,0.00,59.13,9
449,Left,1252.9,1290.4,0.01,59.10,9
450,Right,1922.5,1974.3,0.00,59.09,9
451,Right,1912.5,1952.0,0.01,59.05,9
452,Left,2419.0,2493.3,0.01,59.04,9
453,Left,1441.3,1527.0,0.00,59.04,9
454,Left,2484.5,2497.6,0.02,59.03,9
455,Left,1917.7,1971.1,0.02,59.00,9
456,Left,2021.2,2033.7,0.00,58.99,9
457,Left,1743.9,1851.6,0.00,58.99,9
458,Right,2259.3,2335.9,0.00,58.99,9
459,Right,1243.6,1370.9,0.00,58.97,9
460,Right,1150.2,1273.6,0.00,58.95,9
461,Left,2365.6,2503.4,0.00,58.94,9
462,Right,738.9,770.7,0.02,58.93,9
463,Left,1983.6,2027.5,0.00,58.92,9
464,Right,1339.2,1340.2,0.03,58.92,9
465,Right,2049.2,2119.5,0.00,58.90,9
466,Left,2464.4,2534.3,0.03,58.89,9
467,Right,987.2,1062.4,0.00,58.88,9
468,Right,2109.8,2260.5,0.00,58.87,9
469,Right,2649.7,2766.1,0.00,60.90,10
470,Right,2719.5,2743.3,0.00,60.61,10
471,Right,2799.5,2817.8,0.00,60.49,10
472,Right,2002.4,2081.9,0.00,60.48,10
473,Left,2563.6,2613.2,0.00,60.48,10
474,Left,2457.0,2511.7,0.00,60.45,10
475,Left,2511.3,2546.2,0.00,60.34,10
476,Right,2649.7,2762.9,0.00,60.33,10
477,Left,2540.5,2615.8,0.00,60.27,10
478,Right,2530.2,2540.4,0.00,60.26,10
479,Left,2550.5,2672.6,0.00,60.19,10
480,Right,1996.9,2075.9,0.00,60.19,10
481,Left,2526.2,2633.3,0.00,60.18,10
482,Right,2692.9,2717.1,0.01,60.18,10
483,Left,2429.4,2461.9,0.00,60.16,10
484,Left,2412.1,2422.0,0.01,60.10,10
485,Right,2417.2,2459.8,0.00,60.09,10
486,Right,2488.0,2521.9,0.00,60.06,10
487,Left,2646.2,2724.4,0.00,60.06,10
488,Left,2402.1,2463.0,0.00,60.04,10
489,Right,2444.6,2522.5,0.00,60.03,10
490,Left,2410.9,2482.0,0.00,60.01,10
491,Left,2531.9,2615.5,0.00,60.00,10
492,Right,2384.8,2450.0,0.00,59.95,10
493,Left,1554.5,1573.9,0.00,59.94,10
494,Right,2038.1,2111.0,0.00,59.93,10
495,Right,1773.2,1805.9,0.12,59.91,10
496,Left,2644.0,2709.9,0.00,59.89,10
497,Left,2513.0,2628.8,0.00,59.89,10
498,Right,2626.0,2684.3,0.00,59.88,10
499,Left,2506.4,2638.2,0.01,59.85,10
500,Right,1977.1,2055.5,0.00,59.85,10
