ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
42,Right,1890.4,1892.2,0.00,58.79,1
43,Right,1589.3,1635.7,0.00,58.72,1
44,Right,1846.0,1925.9,0.00,58.71,1
45,Right,1264.5,1311.5,0.00,58.68,1
46,Right,1734.3,1753.3,0.00,58.67,1
47,Left,1177.1,1213.2,0.00,58.66,1
48,Right,1972.8,1983.5,0.00,58.61,1
49,Right,1892.8,2049.4,0.00,58.57,1
50,Right,2227.6,2232.8,0.00,58.47,1
51,Right,2304.2,2351.8,0.00,58.45,1
52,Left,1786.4,1882.6,0.01,58.44,1
53,Left,2329.7,2364.9,0.06,58.44,1
54,Left,1845.2,1986.4,0.00,58.43,1
55,Right,1892.3,2019.1,0.00,58.41,1
56,Right,1571.0,1648.6,0.00,58.39,1
57,Left,1812.7,1834.0,0.00,58.38,1
58,Right,2408.1,2560.2,0.00,58.36,1
59,Left,1774.5,1879.1,0.02,58.31,1
60,Left,2071.5,2197.5,0.00,58.30,1
61,Left,2007.8,2024.3,0.02,58.29,1
62,Left,2179.1,2186.5,0.01,58.26,1
63,Right,1615.7,1707.8,0.00,58.26,1
64,Left,2387.7,2467.2,0.01,58.23,1
65,Right,1994.0,2097.0,0.03,58.15,1
66,Left,2277.1,2463.4,0.01,58.10,1
67,Right,1592.6,1724.5,0.00,58.08,1
68,Left,1350.5,1514.8,0.03,58.08,1
69,Left,1085.8,1157.5,0.00,58.06,1
70,Right,1746.3,1976.7,0.00,58.05,1
71,Right,2308.5,2370.4,0.03,58.03,1
72,Left,1911.6,1990.7,0.01,58.03,1
73,Right,1829.0,1924.8,0.00,58.00,1
74,Right,927.9,972.2,0.01,57.95,1
75,Right,1849.5,1961.2,0.00,57.89,1
76,Left,1444.0,1547.3,0.00,57.86,1
77,Right,2173.3,2558.3,0.02,57.82,1
78,Left,2337.1,2390.2,0.00,57.80,1
79,Right,1166.9,1247.3,0.00,57.80,1
80,Right,1665.8,1774.0,0.03,57.79,1
81,Right,1812.7,1861.1,0.02,57.75,1
82,Right,2385.2,2481.7,0.00,57.73,1
83,Left,1918.1,2641.5,0.00,57.73,1
84,Right,1630.4,1688.2,0.05,57.69,1
85,Left,2006.6,2171.1,0.01,57.67,1
86,Right,1857.8,2016.3,0.00,57.66,1
87,Right,1642.5,1744.6,0.19,57.65,1
88,Right,2023.5,2209.9,0.02,57.64,1
89,Right,1157.9,1167.7,0.00,57.60,1
90,Right,1490.0,1540.2,0.00,57.56,1
91,Left,1438.7,1501.6,0.01,57.49,1
92,Left,1556.9,1653.2,0.00,57.49,1
93,Right,1564.2,1585.3,0.00,57.46,1
94,Right,876.6,899.9,0.00,57.44,1
95,Right,1635.7,1825.0,0.12,57.42,1
96,Right,1686.3,1733.1,0.00,57.41,1
97,Right,1049.4,1055.8,0.04,57.36,1
98,Left,1145.9,1338.1,0.00,57.35,1
99,Left,2592.7,2760.1,0.00,57.35,1
100,Right,1723.1,1808.4,0.00,57.29,1
101,Right,1494.0,1546.4,0.00,57.26,1
102,Left,2062.8,2129.1,0.00,57.24,1
103,Right,1909.4,1986.9,0.00,57.24,1
104,Right,1504.0,1632.8,0.00,57.18,1
105,Right,1747.7,1789.7,0.06,57.16,1
106,Right,1639.2,1739.4,0.00,57.10,1
107,Left,1798.9,1817.7,0.03,57.08,1
108,Right,2008.5,2137.1,0.02,57.07,1
109,Left,1987.4,2149.0,0.00,57.07,1
110,Right,2223.6,2492.1,0.01,57.04,1
111,Left,1800.9,1815.1,0.00,57.03,1
112,Right,1196.6,1211.9,0.00,57.02,1
113,Right,2257.2,2319.9,0.01,57.01,1
114,Right,1268.2,1330.9,0.00,57.00,1
115,Right,1614.1,1741.6,0.03,56.98,1
116,Left,1634.2,1845.1,0.05,56.88,1
117,Right,1267.3,1298.4,0.00,56.85,1
118,Left,1845.9,1908.7,0.08,56.85,1
119,Left,1950.2,2116.7,0.00,56.85,1
120,Right,1720.9,1765.3,0.03,56.79,1
121,Left,2329.2,3110.5,0.00,56.79,1
122,Right,1279.7,1397.3,0.00,56.76,1
123,Right,1724.9,2390.1,0.00,56.75,1
124,Left,1439.4,1503.2,0.10,56.75,1
125,Left,1558.9,1580.2,0.05,56.73,1
126,Left,1060.7,1145.9,0.00,56.70,1
127,Right,1653.9,1824.8,0.00,56.67,1
128,Left,981.4,1100.2,0.00,56.64,1
129,Right,1343.3,1361.4,0.00,56.63,1
130,Left,1625.4,1697.4,0.00,56.57,1
131,Right,1751.2,1798.6,0.00,56.56,1
132,Right,1243.7,1330.5,0.04,56.52,1
133,Right,2537.6,2614.4,0.11,56.49,1
134,Left,3125.2,3188.4,0.02,56.48,1
135,Left,2100.3,2117.7,0.02,56.47,1
136,Right,1272.5,1310.2,0.04,56.46,1
137,Right,1288.6,1430.3,0.00,56.42,1
138,Left,1809.4,1942.5,0.00,56.36,1
139,Right,2094.9,2096.6,0.00,56.35,1
140,Left,2279.2,2426.9,0.00,56.34,1
141,Left,1506.0,1538.7,0.13,56.34,1
142,Right,779.1,896.4,0.00,56.28,1
143,Right,2018.2,2091.5,0.04,56.27,1
144,Left,2468.2,2506.7,0.04,56.26,1
145,Right,2250.6,2379.9,0.00,56.25,1
146,Right,2136.6,2357.6,0.00,56.24,1
147,Left,2009.2,2297.4,0.10,56.22,1
148,Right,1615.3,1680.8,0.05,56.22,1
149,Right,1456.8,1572.3,0.00,56.18,1
150,Right,1322.9,1382.0,0.01,56.17,1
151,Left,2256.0,2318.1,0.03,56.14,1
152,Right,1661.9,1724.2,0.06,56.13,1
153,Right,1255.6,1433.8,0.00,56.10,1
154,Right,1938.3,2005.0,0.02,56.08,1
155,Right,2402.3,2540.7,0.01,56.03,1
156,Right,2423.2,2589.6,0.01,56.03,1
157,Right,2600.9,2910.4,0.00,56.02,1
158,Left,1450.6,1575.8,0.07,56.00,1
159,Left,1544.9,1558.7,0.02,55.96,1
160,Right,1271.1,1370.6,0.03,55.93,1
161,Right,1780.2,1976.5,0.00,55.90,1
162,Left,1148.9,1213.2,0.00,55.88,1
163,Left,1856.2,1924.5,0.02,55.87,1
164,Left,1729.3,1790.2,0.08,55.86,1
165,Right,952.9,962.4,0.01,55.82,1
166,Left,1887.2,2062.4,0.00,55.82,1
167,Left,2885.8,3613.0,0.02,55.79,1
168,Right,2581.7,2783.4,0.03,55.76,1
169,Left,1895.2,1907.1,0.00,55.76,1
170,Right,2280.1,2499.1,0.13,55.73,1
171,Right,1402.6,1418.4,0.04,55.72,1
172,Left,2011.6,2047.8,0.03,55.69,1
173,Right,794.8,824.7,0.00,55.67,1
174,Right,749.1,930.4,0.07,55.59,1
175,Left,1196.0,1260.8,0.00,55.54,1
176,Left,1483.0,1528.1,0.09,55.54,1
177,Left,1656.6,1792.7,0.01,55.54,1
178,Left,1790.8,1828.2,0.04,55.52,1
179,Right,1018.2,1175.3,0.00,55.47,1
180,Left,2213.7,2331.5,0.00,55.42,1
181,Right,2018.1,2179.7,0.00,55.40,1
182,Left,2461.9,2605.8,0.01,55.37,1
183,Left,1896.2,2010.9,0.00,55.36,1
184,Right,1265.5,1400.9,0.00,55.32,1
185,Right,2164.1,2208.1,0.07,55.30,1
186,Left,842.3,856.8,0.00,55.28,1
187,Left,879.9,981.2,0.00,55.27,1
188,Left,1330.5,1415.6,0.00,55.23,1
189,Left,2319.5,2519.3,0.04,55.22,1
190,Right,1427.3,1460.8,0.07,55.19,1
191,Right,1195.2,1223.7,0.10,55.15,1
192,Left,1038.5,1073.3,0.00,55.12,1
193,Left,1322.8,1386.5,0.00,55.12,1
194,Left,838.9,912.2,0.00,55.11,1
195,Left,1296.8,1352.5,0.09,55.10,1
196,Left,2357.6,2519.9,0.05,55.06,1
197,Right,1524.3,1671.7,0.02,55.04,1
198,Left,2695.3,2929.2,0.04,54.99,1
199,Right,2311.1,2416.6,0.09,54.98,1
200,Left,591.9,613.8,0.01,54.98,1
201,Left,2869.7,2986.0,0.02,58.86,2
202,Left,1486.3,1491.5,0.01,58.53,2
203,Left,2481.1,2487.4,0.00,58.20,2
204,Right,1580.5,1632.4,0.05,58.12,2
