ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
163,Right,797.1,829.6,0.00,57.89,4
164,Left,1031.8,1101.4,0.02,57.84,4
165,Right,468.8,501.7,0.01,57.80,4
166,Left,996.7,1145.0,0.00,59.53,5
167,Left,1359.0,1373.6,0.01,59.09,5
168,Right,1669.1,1669.8,0.00,59.06,5
169,Right,1592.0,1691.2,0.00,58.82,5
170,Right,1538.6,1620.5,0.00,58.80,5
171,Left,545.2,555.4,0.00,58.77,5
172,Left,1381.0,1415.2,0.00,58.75,5
173,Left,617.0,707.0,0.00,58.74,5
174,Left,920.7,960.8,0.19,58.71,5
175,Right,1464.2,1540.0,0.01,58.71,5
176,Left,1659.9,1745.7,0.00,58.68,5
177,Left,1278.8,1307.8,0.00,58.67,5
178,Left,1626.0,1784.2,0.00,58.61,5
179,Left,1004.1,1053.6,0.00,58.58,5
180,Right,1081.6,1085.6,0.02,58.42,5
181,Right,1349.9,1425.5,0.17,58.42,5
182,Right,1199.0,1269.4,0.00,58.40,5
183,Left,1196.2,1322.4,0.01,58.39,5
184,Right,840.8,843.8,0.01,58.38,5
185,Right,1792.8,1839.6,0.06,58.38,5
186,Left,942.0,1031.8,0.00,58.35,5
187,Left,1260.1,1293.2,0.00,58.32,5
188,Right,1279.3,1398.0,0.00,58.29,5
189,Left,1142.3,1180.3,0.00,58.17,5
190,Left,1246.4,1397.6,0.00,58.11,5
191,Right,1738.2,1783.9,0.00,58.09,5
192,Right,579.0,614.1,0.00,58.04,5
193,Left,642.7,661.5,0.19,58.01,5
194,Left,1034.0,1117.1,0.07,57.97,5
195,Right,1045.1,1134.1,0.01,57.94,5
196,Right,604.1,656.6,0.00,57.92,5
197,Left,1640.4,1888.9,0.00,57.89,5
198,Right,727.3,745.1,0.00,57.89,5
199,Left,905.0,975.4,0.01,57.81,5
200,Left,1214.5,1228.0,0.01,57.81,5
201,Left,1058.8,1259.2,0.00,57.78,5
202,Right,1392.0,1473.1,0.00,59.54,6
203,Right,925.7,974.3,0.05,59.51,6
204,Right,1558.1,1639.0,0.00,59.17,6
205,Left,982.9,1049.5,0.00,59.14,6
206,Left,1605.9,1723.2,0.00,59.14,6
207,Left,959.4,1072.6,0.02,58.91,6
208,Right,1252.0,1291.3,0.00,58.90,6
209,Left,681.5,791.7,0.00,58.88,6
210,Left,1280.9,1345.2,0.00,58.86,6
211,Left,748.7,770.4,0.00,58.73,6
212,Right,1370.9,1417.5,0.00,58.69,6
213,Left,1218.2,1320.0,0.00,58.67,6
214,Right,1576.8,1693.7,0.00,58.67,6
215,Right,1335.7,1440.8,0.00,58.51,6
216,Right,1293.7,1360.3,0.01,58.46,6
217,Right,1227.7,1301.7,0.00,58.42,6
218,Right,1994.9,2061.9,0.00,58.39,6
219,Left,945.8,983.7,0.00,58.33,6
220,Right,1299.8,1316.4,0.00,58.26,6
221,Left,932.7,1096.2,0.11,58.17,6
222,Right,1014.6,1030.0,0.00,58.16,6
223,Right,1421.0,1537.3,0.01,58.10,6
224,Left,1482.7,1666.8,0.00,58.04,6
225,Right,1338.0,1417.0,0.00,57.93,6
226,Left,2005.6,2009.3,0.00,57.89,6
227,Left,533.6,542.9,0.02,57.87,6
228,Right,1267.1,1380.4,0.15,57.86,6
229,Right,1678.0,1681.5,0.01,57.82,6
230,Right,1692.1,1800.3,0.00,59.47,7
231,Left,1268.2,1345.9,0.00,59.43,7
232,Left,1119.5,1137.7,0.00,59.41,7
233,Right,1746.6,1854.6,0.00,59.31,7
234,Right,1704.1,1787.0,0.00,59.31,7
235,Left,1056.7,1070.1,0.00,59.18,7
236,Right,1285.4,1369.0,0.01,59.15,7
237,Right,1618.1,1676.9,0.00,59.09,7
238,Left,862.8,911.8,0.19,59.05,7
239,Right,1504.6,1588.9,0.15,59.04,7
240,Left,1159.2,1270.6,0.00,59.02,7
241,Left,1839.3,2009.4,0.00,58.91,7
242,Left,685.9,730.8,0.02,58.90,7
243,Right,1443.5,1486.8,0.03,58.89,7
244,Right,1081.8,1158.4,0.00,58.80,7
245,Left,1996.7,2253.3,0.00,58.77,7
246,Left,1016.3,1046.6,0.15,58.73,7
247,Right,1137.2,1197.0,0.00,58.68,7
248,Left,1602.1,1696.8,0.00,58.62,7
249,Right,797.1,845.0,0.00,58.55,7
250,Left,1211.4,1353.1,0.01,58.50,7
251,Left,661.7,762.5,0.00,58.43,7
252,Right,1323.5,1399.4,0.00,58.43,7
253,Right,1742.4,1744.8,0.01,58.42,7
254,Left,551.2,607.7,0.00,58.42,7
255,Left,949.2,1110.7,0.00,58.39,7
256,Right,1853.2,1931.3,0.05,58.36,7
257,Left,1437.8,1453.3,0.00,58.35,7
258,Right,1688.3,1704.6,0.02,58.31,7
259,Right,1205.6,1317.3,0.00,58.20,7
260,Right,1260.2,1371.6,0.00,58.13,7
261,Right,788.1,792.8,0.00,58.09,7
